id,group,a,value
1,group1,a1,85.67920074547658
1,group1,a1,-3.0223029736258837
1,group1,a1,217.93770817143724
1,group1,a1,53.395266316948394
1,group1,a1,14.163785880923186
1,group1,a1,190.29102943371788
1,group1,a1,241.37786244826017
1,group1,a1,304.1748230144039
1,group1,a1,93.49859268316862
1,group1,a1,196.2049144921833
1,group1,a1,115.9901520697982
1,group1,a1,61.605462811353924
1,group1,a1,-0.6264539252425152
1,group1,a1,59.06175707091929
1,group1,a1,156.2230596091565
1,group1,a1,212.6707565315727
1,group1,a1,39.27682083712221
1,group1,a1,120.8053379040327
1,group1,a1,237.87313431664273
1,group1,a1,76.4087795368182
1,group1,a1,16.871049628798332
1,group1,a1,72.85471089922689
1,group1,a1,132.01094869683703
1,group1,a1,124.80159422010898
1,group1,a1,84.44743232346319
1,group1,a1,-48.50463028526565
1,group1,a1,-98.0027971066549
1,group1,a1,44.94660136014566
1,group1,a1,-19.787332415657033
1,group1,a1,10.304016664018889
1,group1,a1,28.99610231258613
1,group1,a1,145.81857032765865
1,group1,a1,192.89435905215674
1,group1,a1,-78.65877273151412
1,group1,a1,131.48844377677983
1,group1,a1,43.097988496562294
1,group1,a1,182.97445708468345
1,group1,a1,86.35919314117713
1,group1,a1,124.93192701588508
1,group1,a1,244.1263671358223
1,group1,a1,255.72613456606302
1,group1,a1,-23.15424418207337
1,group1,a1,161.2285305251229
1,group1,a1,-10.433869768093018
1,group1,a1,67.32025735621991
1,group1,a1,239.41359488876273
1,group1,a1,144.35842352737214
1,group1,a1,134.87236295079526
1,group1,a1,23.67252022726818
1,group1,a1,194.6989253110666
1,group1,a1,153.10687379159674
1,group1,a1,213.17390442355602
1,group1,a1,98.05685432523664
1,group1,a1,71.62015202386054
1,group1,a1,88.50211305383934
1,group1,a1,154.6489438498312
1,group1,a1,-119.69407044095308
1,group1,a1,184.3870065840287
1,group1,a1,38.87380014769154
1,group1,a1,150.19410173381834
1,group1,a1,-137.31408747864293
1,group1,a1,70.78663842870732
1,group1,a1,133.4056810909171
1,group1,a1,-75.61503456789683
1,group1,a1,100.14155902943517
1,group1,a1,232.70788961840944
1,group1,a1,216.62465801258983
1,group1,a1,8.40230269946035
1,group1,a1,113.83218124058136
1,group1,a1,108.04900961426289
1,group1,a1,144.37857141131275
1,group1,a1,257.78632288749225
1,group1,a1,23.120707218194198
1,group1,a1,150.64317419572754
1,group1,a1,130.9320879997776
1,group1,a1,91.42311215810285
1,group1,a1,50.145998099022144
1,group1,a1,336.60575247791814
1,group1,a1,40.57228040051358
1,group1,a1,247.92324383499425
1,group1,a1,-116.67677248268333
1,group1,a1,-40.516999227874265
1,group1,a1,50.80069613364408
1,group1,a1,142.30497820551426
1,group1,a1,283.98195021354854
1,group1,a1,103.5735504069488
1,group1,a1,41.25615408264222
1,group1,a1,-7.710214111103795
1,group1,a1,41.48276742163496
1,group1,a1,-3.9066298963183073
1,group1,a1,156.3344129522232
1,group1,a1,-53.3315998646022
1,group1,a1,92.33013206169237
1,group1,a1,67.99440968355681
1,group1,a1,215.33083321112616
1,group1,a1,13.788642923319827
1,group1,a1,247.4074146420326
1,group1,a1,198.83620233533978
1,group1,a1,43.319549166812756
1,group1,a1,42.89224618241917
1,group1,a2,-5.926812314830897
1,group1,a2,67.01745884845053
1,group1,a2,169.78659190970507
1,group1,a2,161.93279977962956
1,group1,a2,124.00840201808735
1,group1,a2,107.43433875179076
1,group1,a2,61.70689010916432
1,group1,a2,61.78159402746314
1,group1,a2,159.0350667482024
1,group1,a2,85.9547610035035
1,group1,a2,-114.03927086794309
1,group1,a2,143.84479699022194
1,group1,a2,109.04714767404879
1,group1,a2,-71.71229528379232
1,group1,a2,-20.4688670512071
1,group1,a2,-60.9938057585116
1,group1,a2,32.09118705800253
1,group1,a2,0.6941772226032015
1,group1,a2,95.52402940241222
1,group1,a2,-5.750714316709974
1,group1,a2,4.74762863014486
1,group1,a2,-27.081539421240606
1,group1,a2,73.05060708609008
1,group1,a2,220.68090302843078
1,group1,a2,136.80845356456678
1,group1,a2,67.65352969401557
1,group1,a2,43.97895655709142
1,group1,a2,90.62266899141095
1,group1,a2,8.401577659472153
1,group1,a2,220.5976876669586
1,group1,a2,222.23003005952899
1,group1,a2,173.03962432848894
1,group1,a2,8.933011607077802
1,group1,a2,172.6284869526046
1,group1,a2,174.21712729126062
1,group1,a2,169.8216191239423
1,group1,a2,110.11142183042509
1,group1,a2,153.21074956881614
1,group1,a2,28.90731119755941
1,group1,a2,72.4678981628715
1,group1,a2,102.2786982533171
1,group1,a2,191.71002419478248
1,group1,a2,113.87851557887468
1,group1,a2,-24.7854780390838
1,group1,a2,47.729843316886225
1,group1,a2,201.3285711454414
1,group1,a2,-59.99480193270756
1,group1,a2,121.53692553953968
1,group1,a2,232.06816889656548
1,group1,a2,254.76238728252457
1,group1,a2,152.6937565724303
1,group1,a2,-35.712417808403046
1,group1,a2,46.29238757506696
1,group1,a2,45.229962004892585
1,group1,a2,92.03847665150393
1,group1,a2,77.50343178810581
1,group1,a2,-54.77391032781702
1,group1,a2,7.987926347403388
1,group1,a2,-27.590939426710776
1,group1,a2,214.8931254636512
1,group1,a2,-5.444901551327803
1,group1,a2,202.20708851811912
1,group1,a2,223.63259901085263
1,group1,a2,207.71672141357033
1,group1,a2,154.08521571602984
1,group1,a2,125.13158365921309
1,group1,a2,246.89485912736333
1,group1,a2,-31.565219480754052
1,group1,a2,-101.48172043219824
1,group1,a2,31.705696305193115
1,group1,a2,71.19824139016893
1,group1,a2,-40.23771349376949
1,group1,a2,-96.4800151143618
1,group1,a2,21.515793006747302
1,group1,a2,48.37662914158012
1,group1,a2,5.699170189985665
1,group1,a2,135.78976536204976
1,group1,a2,232.26199632630093
1,group1,a2,67.3285714180995
1,group1,a2,248.96442392556122
1,group1,a2,-54.79233770892918
1,group1,a2,158.4793864029911
1,group1,a2,136.0816064483571
1,group1,a2,17.004623573191594
1,group1,a2,-175.7109445105545
1,group1,a2,258.8955884068854
1,group1,a2,253.476709258976
1,group1,a2,5.80640950174039
1,group1,a2,180.08539371942737
1,group1,a2,116.90904373256433
1,group1,a2,72.64450940169026
1,group1,a2,180.52268238052926
1,group1,a2,118.8560491627474
1,group1,a2,83.39592973296851
1,group1,a2,66.26579232567514
1,group1,a2,67.24037748046226
1,group1,a2,153.97381381655737
1,group1,a2,125.19413959881484
1,group1,a2,-22.57363134932922
1,group1,a2,246.51008537138713
2,group2,a1,-188.81989873444002
2,group2,a1,-66.77357815802415
2,group2,a1,-269.49328135317455
2,group2,a1,-361.1161246690436
2,group2,a1,-237.82286716623997
2,group2,a1,-333.40426322016526
2,group2,a1,-202.85377446021909
2,group2,a1,-360.08833395990524
2,group2,a1,-370.7149465904641
2,group2,a1,-106.83321421379834
2,group2,a1,-255.38856074116137
2,group2,a1,-145.11751062024663
2,group2,a1,-126.28638346015981
2,group2,a1,-418.4282843745924
2,group2,a1,-124.19683414542195
